csv start


rating	hourly_rate	estimated_budget	total_spent_by_client	country	payment_verified	job_url_main	job_title		time_posted	skill_level	estimated_time
Rating is 0 out of 5.	Hourly: $5-$10	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Agent-Development-for-Web-Scraping-with-Open-Source-LLMs_~021883259649796030939/?referrer_url_path=find_work_home	AI Agent Development for Web Scraping with Open Source LLMs		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Fixed-price	$100,000	$0	Sweden	Payment verified	https://www.upwork.com/jobs/Seeking-PhD-for-CEO-CTO-Role-Innovative-Startup_~021883259649667619594/?referrer_url_path=find_work_home	Seeking AI PhD for CEO/CTO Role in Innovative Startup		yesterday	Expert	Est. Budget:
Rating is 5 out of 5.	Hourly: $15-$30	Less than 30 hrs/week	$80K+	United States	Payment verified	https://www.upwork.com/jobs/Flutter-Developer-Needed-Pose-Estimation-Testing-Feature-Flags-OTA-Updates_~021883224008458715611/?referrer_url_path=find_work_home	Flutter Developer Needed: Pose Estimation + A/B Testing, Feature Flags, OTA Updates		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $25-$40	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/SaaS-Designer-for-Vacation-Rental-Property-Management_~021883222824725463515/?referrer_url_path=find_work_home	SaaS Designer for Vacation Rental Property Management		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	India	Payment verified	https://www.upwork.com/jobs/Interview-help-needed-for-data-big-data-engineer-role_~021883221288632926683/?referrer_url_path=find_work_home	Interview help needed for data/big data engineer role		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Fixed-price	$100	$0	United States	Payment verified	https://www.upwork.com/jobs/Automation-Workflow-Development-using-Zapier-and-Integrations_~021883221181782676015/?referrer_url_path=find_work_home	Automation Workflow Development using Zapier and Integrations		yesterday	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly: $5-$40	30+ hrs/week	$200K+	Australia	Payment verified	https://www.upwork.com/jobs/Growth-Hacker-Mobile-App-Product-Manager_~021883219856349057583/?referrer_url_path=find_work_home	Growth Hacker - Mobile App - Product Manager		2 days ago	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $15-$35	Less than 30 hrs/week	$600+	United States	Payment verified	https://www.upwork.com/jobs/Enhancement-RAG-App-Snowflake-with-OpenAI-Integration_~021883219234496238798/?referrer_url_path=find_work_home	Enhancement of RAG App on Snowflake with OpenAI Integration		2 days ago	Intermediate	Est. Time:
Rating is 4.7 out of 5.	Hourly: $25	not_sure	$200K+	United States	Payment verified	https://www.upwork.com/jobs/Healthcare-Data-Science_~021883218955369501902/?referrer_url_path=find_work_home	Healthcare Data Science		2 days ago	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $15-$50	Hours to be determined	$200K+	United States	Payment verified	https://www.upwork.com/jobs/Expert-Developer-Needed-for-SaaS-Enhancement_~021883214633392001583/?referrer_url_path=find_work_home	AI Expert Developer Needed for SaaS UX Enhancement		2 days ago	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$300	$40	Kenya	Payment verified	https://www.upwork.com/jobs/Agent_~021883210891568855708/?referrer_url_path=find_work_home	Ai Agent		2 days ago	Expert	Est. Budget:
Rating is 0 out of 5.	Hourly: $12-$15	Less than 30 hrs/week	$0	India	Payment verified	https://www.upwork.com/jobs/Treasure-Data-CDP-Engineer_~021883209745786683867/?referrer_url_path=find_work_home	Treasure Data CDP Engineer		2 days ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $30-$60	Less than 30 hrs/week	$500+	United States	Payment verified	https://www.upwork.com/jobs/Help-build-Agent-chat-bot-SMS-conversational-chatbot-with-guardrails_~021883209064458278094/?referrer_url_path=find_work_home	Help me build an AI Agent chat bot - SMS conversational chatbot (with guardrails)		2 days ago	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $15-$40	30+ hrs/week	$200K+	United States	Payment verified	https://www.upwork.com/jobs/Account-Based-Marketing-ABM-Specialist_~021883207461312872923/?referrer_url_path=find_work_home	Account Based Marketing (ABM) Specialist		2 days ago	Expert	Est. Time:
Rating is 0 out of 5.	Hourly: $15-$25	30+ hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Full-Stack-Developer-Backend-Focused-with-Frontend-Design-Skills_~021883205883808502990/?referrer_url_path=find_work_home	Full-Stack Developer (Backend-Focused) with Frontend & Design Skills		2 days ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$3K+	Saudi Arabia	Payment verified	https://www.upwork.com/jobs/Quantitive-Developer-for-Automated-Trading_~021883199044001780942/?referrer_url_path=find_work_home	Quantitive Developer for Automated Trading		2 days ago	Expert	Est. Time:
Rating is 4.5 out of 5.	Hourly: $30-$59	Less than 30 hrs/week	$40K+	IND	Payment verified	https://www.upwork.com/jobs/Integrate-PingIdentity-Voice-Agents_~021883192885798819022/?referrer_url_path=find_work_home	Integrate PingIdentity in AI Voice Agents		2 days ago	Expert	Est. Time:
Rating is 0 out of 5.	Hourly	30+ hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/API-Integration-Specialist-with-Dashboard-Development-Skills_~021883180468495170204/?referrer_url_path=find_work_home	API Integration Specialist with Dashboard Development Skills		2 days ago	Entry level	Est. Time:
Rating is 0 out of 5.	Fixed-price	$800	$0	United States	Payment verified	https://www.upwork.com/jobs/Mixpanel-Expert-Needed-One-Day-Dashboard-Setup-Training-Session_~021883180361645275804/?referrer_url_path=find_work_home	Mixpanel Expert Needed: One-Day Dashboard Setup & Training Session		2 days ago	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$400+	United States	Payment verified	https://www.upwork.com/jobs/ServiceNow-Reporting-and-Graphing-Specialist_~021883172016919101915/?referrer_url_path=find_work_home	ServiceNow Reporting and Graphing Specialist		2 days ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$200+	NLD	Payment verified	https://www.upwork.com/jobs/Help-Needed-with-Hosting-TensorFlow-Model-the-Cloud-Firebase-Google-Cloud_~021883170899271303643/?referrer_url_path=find_work_home	Help Needed with Hosting a TensorFlow ML Model on the Cloud (Firebase/Google Cloud)		2 days ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $12-$22	30+ hrs/week	$100K+	United States	Payment verified	https://www.upwork.com/jobs/Full-Stack-React-Python-Developer-for-Prototype-Development-immediate-hire_~021883169373332820527/?referrer_url_path=find_work_home	Full Stack React/Python Developer for AI Prototype Development - immediate hire		2 days ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $20-$40	Less than 30 hrs/week	$0	Sweden	Payment verified	https://www.upwork.com/jobs/Experienced-Automation-Consultant-Needed-for-Make-com-Solutions_~021883168904697926862/?referrer_url_path=find_work_home	Experienced Automation Consultant Needed for Make.com Solutions		2 days ago	Intermediate	Est. Time:
Rating is 4.6 out of 5.	Fixed-price	$100	$7K+	United Kingdom	Payment verified	https://www.upwork.com/jobs/Agentic-System-development_~021883163431982650574/?referrer_url_path=find_work_home	Agentic System development		2 days ago	Intermediate	Est. Budget:
Rating is 0 out of 5.	Fixed-price	$1,500	$200+	Italy	Payment verified	https://www.upwork.com/jobs/Database-Development-with-Machine-Learning-Integration_~021883161631015621838/?referrer_url_path=find_work_home	Database Development with Machine Learning Integration		2 days ago	Intermediate	Est. Budget:
Rating is 4.8 out of 5.	Hourly: $15-$30	30+ hrs/week	$40K+	United States	Payment verified	https://www.upwork.com/jobs/Tech-Generalist-Business-Operations_~021883161594415012618/?referrer_url_path=find_work_home	Tech Generalist & Business Operations		2 days ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Fixed-price	$500	$7K+	United States	Payment verified	https://www.upwork.com/jobs/Google-Looker-expert_~021883159245263065647/?referrer_url_path=find_work_home	Google Looker UI/UX expert		2 days ago	Intermediate	Est. Budget:
Rating is 5 out of 5.	Fixed-price	$100	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Developer-Needed-for-Insurance-Benefits-Eligibility-Application_~021883158237485060656/?referrer_url_path=find_work_home	AI Developer Needed for Insurance Benefits Eligibility Application		2 days ago	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly: $8-$25	Less than 30 hrs/week	$100K+	United States	Payment verified	https://www.upwork.com/jobs/Operations-Manager-GHL-Sales-Funnel-Analysis-Optimization-for-Code-Development-Agency_~021882426319075585759/?referrer_url_path=find_work_home	Operations Manager | (GHL) Sales Funnel Analysis & Optimization for No-Code Development Agency		4 days ago	Intermediate	Est. Time:


//csv end 


Based on the CSV, what should be your top 20 jobs that you should apply to optimize you for the amount that is already spent by the client? The hourly rate, the rating, Basically, optimizing for my overall value that I can get from the minimum amount of jobs that I can apply. Optimizing the overall net fair total addressable market for me. I do not want to say for example apply for jobs where the client has never paid anything in the past. Neither I want jobs where the client has low hourly rate.
